지번주소,좌표정보,좌표정보,콘텐츠 명
서울특별시 강서구 등촌동 639-11번지 홈플러스강서점앤본사사옥,126.85429,37.55879467,홈플러스 강서점
서울특별시 관악구 신림동 1456-3번지 신림동공영주차장,126.9232434,37.48737973,신림동 제1공영주차장
서울특별시 관악구 신림동 626번지,126.9213278,37.47261331,난곡동 제1공영주차장
서울특별시 관악구 신림동 154-3번지,126.9479945,37.46695623,서울대입구 교차로
서울특별시 관악구 신림동 154-3번지,126.9479945,37.46695623,서울대입구 교차로
서울특별시 관악구 봉천동  산 110-4번지 보라매제1공영주차장,126.9342778,37.48859453,보라매 제1공영주차장
서울특별시 관악구 신림동 366번지 원신공영주차장,126.9289329,37.47005212,원신 공영주차장
서울특별시 광진구 능동 18번지 어린이대공원,127.0762633,37.54930327,어린이대공원 후문주차장
서울특별시 구로구 신도림동 337번지 신도림1차푸르지오,126.8880413,37.50925895,홈플러스 신도림점
서울특별시 노원구 중계동 361번지 롯데마트,127.0705095,37.64644733,롯데마트 중계점
서울특별시 노원구 중계동 509-2번지 홈플러스,127.0684189,37.63975372,홈플러스 중계점
서울특별시 노원구 하계동 251-8번지,127.074183,37.63866978,실증용 Mock-up 주택 홍보관
서울특별시 노원구 하계동 251-8번지,127.074183,37.63866978,실증용 Mock-up 주택 홍보관
서울특별시 동대문구 용두동 39-9번지 동대문구청,127.0397079,37.5743694,동대문구청
서울특별시 동작구 흑석동 224-1번지 중앙대학교병원,126.9608501,37.50758358,중앙대학교병원 다정관 주차장
서울특별시 마포구 합정동 139-21번지 양화진공영주차장,126.911494,37.54563779,양화진공영주차장
서울특별시 마포구 공덕동 11-243번지 공덕1-1공영주차장,126.9608981,37.54732079,공덕1-1공영주차장
서울특별시 서대문구 홍제동 294-84번지 홍제견인차량보관소,126.9409177,37.59082089,홍제견인차량보관소 주차장
서울특별시 서대문구 홍제동 294-84번지 홍제견인차량보관소,126.9409177,37.59082089,홍제견인차량보관소 주차장
서울특별시 서초구 서초동 391번지 서울특별시인재개발원,127.0205726,37.48037571,서울시인재개발원
서울특별시 서초구 원지동 63번지 서울추모공원,127.0428008,37.45226288,서울추모공원
서울특별시 송파구 잠실동 84번지,127.0756738,37.51088966,아시아공원 공영주차장
서울특별시 송파구 잠실동 84번지,127.0756738,37.51088966,아시아공원 공영주차장
서울특별시 송파구 잠실동 84번지,127.0756738,37.51088966,아시아공원 공영주차장
서울특별시 송파구 문정동 150-2번지 문정프라자,127.11768,37.49203205,롯데마트 송파점
서울특별시 영등포구 문래동3가 55-3번지 홈플러스,126.895315,37.51844512,홈플러스 영등포점
서울특별시 영등포구 신길동 422번지 신길5동주민센터,126.905156,37.50158676,신길 제5동 주민센터
서울특별시 영등포구 신길동 232-20번지 신길4동공원지하주차장,126.9116596,37.50700721,신길4동1마을공원 공영주차장
서울특별시 영등포구 당산동3가 562번지 당산SHVILLE,126.9018589,37.52410638,당산에스에이치빌 아파트 앞
서울특별시 영등포구 영등포동4가 431-6번지,126.9053493,37.51667595,영등포 제3공영
서울특별시 용산구 신창동 53-1번지 신창공영주차장,126.9553681,37.53538436,신창동 공영주차장
서울특별시 용산구 한남동 685-46번지 한남동공영주차장,127.0000322,37.53476674,한남동 공영주차장
서울특별시 은평구 수색동 315-2번지,126.8879981,37.58666384,현대자동차 수색대리점
서울특별시 은평구 진관동 362번지 은평구민체육센터,126.9234847,37.63060558,은평구민체육센터
서울특별시 종로구 인사동 194-27번지 태화빌딩,126.9847691,37.57213699,태화빌딩
서울특별시 종로구 와룡동 2-70번지 국립서울과학관,126.996784,37.58177373,한국예술종합학교(종로)
서울특별시 중구 장충동2가  산 14-67번지 국립극장,127.0000058,37.55174767,국립극장
서울특별시 중구 장충동2가  산 14-67번지 국립극장,127.0000058,37.55174767,국립극장
서울특별시 중랑구 상봉동 500번지 상봉프레미어스엠코,127.0913233,37.59808675,홈플러스 상봉점
서울특별시 중랑구 신내동 645번지 홈플러스서울신내점,127.0937143,37.61604313,홈플러스 신내점
서울특별시 중랑구 면목동  산 1-4번지 용마폭포공원관리사무소,127.0891018,37.5733344,용마폭포공원 공영주차장
서울특별시 강북구 미아동 190-1번지,127.0248581,37.63039338,강북성북지사
서울특별시 강북구 미아동 190-1번지,127.0248581,37.63039338,강북성북지사
서울특별시 강북구 미아동 190-1번지,127.0248581,37.63039338,강북성북지사
서울특별시 중구 남산동3가 11-10번지 한국전력공사(중부지점),126.9873901,37.56078923,경인건설처
서울특별시 중랑구 묵동 181-4번지,127.0787399,37.60739494,동대문중랑지사
서울특별시 마포구 도화동 51-3번지,126.9465507,37.54209214,마포용산지사
서울특별시 중구 남대문로 92번지,,,서울직할
서울특별시 성동구 마장동 479-2번지,127.0340256,37.56776079,광진성동지사
서울특별시 강동구 둔촌동 522-9번지,127.1352601,37.52388017,강동송파지사
서울특별시 양천구 신정동 319-1번지,126.8684988,37.51929161,강서양천지사
서울특별시 동작구 사당동 1042-1번지,126.9813946,37.47819302,관악동작지사
서울특별시 서초구 서초동 1355번지 한전아트센터,127.0281986,37.48613425,서초지사
서울특별시 서초구 서초동 1355번지 한전아트센터,127.0281986,37.48613425,서초지사
서울특별시 용산구 한강로3가 40-999번지 용산역,126.9654886,37.5291285,용산역 아이파크몰
서울특별시 용산구 한강로3가 40-999번지 용산역,126.9654886,37.5291285,용산역 아이파크몰
서울특별시 용산구 한강로3가 40-999번지 용산역,126.9654886,37.5291285,용산역 아이파크몰
서울특별시 용산구 한강로3가 40-999번지 용산역,126.9654886,37.5291285,용산역 아이파크몰
서울특별시 용산구 한강로3가 40-999번지 용산역,126.9654886,37.5291285,용산역 아이파크몰
서울특별시 용산구 한강로3가 40-999번지 용산역,126.9654886,37.5291285,용산역 아이파크몰
